Date/Time,Temp_C,Rel Hum_%,Press_kPa,Temp_Change,Humidity_Change,Pressure_Change,Temp_Rolling_Mean,Humidity_Rolling_Mean,Pressure_Rolling_Mean,Temp_Rolling_Std,Humidity_Rolling_Std,Pressure_Rolling_Std,Anomaly_Score,ML_Anomaly
2012-08-02 16:00:00,30.0,48,100.4,0.1999999999999993,-4.0,-0.0300000000000011,26.99,63.3,100.533,2.70409155006052,13.174470261329695,0.0842021377445765,0.10761157694675927,0
2012-08-02 17:00:00,29.9,43,100.41,-0.1000000000000014,-5.0,0.0099999999999909,27.73,59.0,100.514,2.324770000570604,11.89771219838283,0.0887192826382838,0.10255887544795439,0
2012-08-02 18:00:00,28.4,48,100.42,-1.5,5.0,0.0100000000000051,28.18,56.0,100.495,1.8972494710904475,10.241527663824357,0.0861845564965205,0.0898756136232357,0
2012-08-02 19:00:00,27.7,45,100.44,-0.6999999999999993,-3.0,0.019999999999996,28.5,53.0,100.476,1.4165686240574618,8.259674462241936,0.0730600970330965,0.11065911695274089,0
2012-08-02 20:00:00,27.2,48,100.52,-0.5,3.0,0.0799999999999983,28.64,51.0,100.468,1.1673331429647802,6.44635986860368,0.0614274640045807,0.10224771379833647,0
2012-08-02 21:00:00,26.8,50,100.53,-0.3999999999999986,2.0,0.0100000000000051,28.59,49.5,100.465,1.2395787815031876,4.169998667730809,0.0570087712610793,0.11434872258695411,0
2012-08-02 22:00:00,25.7,55,100.52,-1.1000000000000014,5.0,-0.0100000000000051,28.42,49.2,100.461,1.5083471454239257,3.5527766918580634,0.0506513134701366,0.10721126989405216,0
2012-08-02 23:00:00,25.0,62,100.5,-0.6999999999999993,7.0,-0.019999999999996,28.01,50.3,100.461,1.8266240870942771,5.396500923951595,0.0506513134701366,0.11678765905578997,0
2012-08-03 00:00:00,24.4,63,100.5,-0.6000000000000014,1.0,0.0,27.49,51.4,100.467,2.050176144193405,6.736302975502695,0.0514349643360953,0.13944724737799663,0
2012-08-03 01:00:00,24.1,64,100.5,-0.2999999999999971,1.0,0.0,26.92,52.6,100.474,2.1274920028568403,7.834397090891359,0.0505964425696713,0.14463089331549278,0
2012-08-03 02:00:00,23.5,68,100.52,-0.6000000000000014,4.0,0.019999999999996,26.27,54.6,100.486,2.0742066756548168,8.996295533903021,0.045018514717651,0.14376033229999835,0
2012-08-03 03:00:00,23.4,72,100.54,-0.1000000000000014,4.0,0.0200000000000102,25.62,57.5,100.499,1.8121810064112696,9.5014618758257,0.0390014244847424,0.14686713595107248,0
2012-08-03 04:00:00,22.9,73,100.6,-0.5,1.0,0.059999999999988,25.07,60.0,100.517,1.7062304129923551,9.99999999999963,0.040013886487749,0.14508738631193185,0
2012-08-03 05:00:00,22.3,76,100.68,-0.5999999999999979,3.0,0.0800000000000125,24.53,63.1,100.541,1.634387414972393,9.631545393479731,0.0570477383005542,0.14749455982806498,0
2012-08-03 06:00:00,22.5,77,100.74,0.1999999999999993,1.0,0.059999999999988,24.059999999999995,66.0,100.563,1.446221129548847,8.919392106839508,0.0840700765942334,0.1553468182730603,0
2012-08-03 07:00:00,23.2,75,100.81,0.6999999999999993,-2.0,0.0700000000000073,23.7,68.5,100.591,1.0934146311228852,7.291547618075548,0.1133774424003787,0.1486935178581874,0
2012-08-03 08:00:00,24.1,71,100.87,0.9000000000000021,-4.0,0.0600000000000022,23.54,70.1,100.626,0.860490816012877,5.54677083235498,0.1399364935356738,0.1331898655734624,0
2012-08-03 09:00:00,25.6,62,100.91,1.5,-9.0,0.039999999999992,23.6,70.1,100.667,0.9854496999386452,5.54677083235498,0.157836061225233,0.11404094124904368,0
2012-08-03 10:00:00,26.0,60,100.95,0.3999999999999986,-2.0,0.0400000000000062,23.76,69.8,100.712,1.2294533563960808,6.033241251599106,0.1687075049401638,0.14270763424045574,0
2012-08-03 11:00:00,27.1,55,100.99,1.1000000000000014,-5.0,0.039999999999992,24.059999999999995,68.9,100.761,1.6242605155024283,7.489993324429382,0.1714286375689113,0.12125197137584381,0
2012-08-03 12:00:00,27.1,53,101.03,0.0,-2.0,0.0400000000000062,24.42,67.4,100.812,1.8671427964192149,9.033271832508747,0.1675841413900593,0.13157325749748022,0
2012-08-03 13:00:00,28.2,49,101.07,1.099999999999998,-4.0,0.039999999999992,24.9,65.1,100.865,2.168460795638256,10.535126429658249,0.1553669491556473,0.11223861505897526,0
2012-08-03 14:00:00,27.6,48,101.1,-0.5999999999999979,-1.0,0.0300000000000011,25.37,62.6,100.915,2.195981177818049,11.384199576605884,0.1403368962373439,0.13451485653693362,0
2012-08-03 15:00:00,29.2,47,101.11,1.599999999999998,-1.0,0.0100000000000051,26.059999999999995,59.7,100.958,2.208166660376367,11.284699572626495,0.1254148671012025,0.11207185839117656,0
2012-08-03 16:00:00,28.9,45,101.1,-0.3000000000000007,-2.0,-0.0100000000000051,26.7,56.5,100.994,1.977091016844322,10.3306448115407,0.1060607792260774,0.13275133041283516,0
